date,value,ma7,ma21,26ema,12ema,MACD,ema,momentum
02-14-2011 00:00:00,1332.32,,,,,,,
02-15-2011 00:00:00,1328.01,,,1332.32,1332.32,0.0,1332.32,
02-16-2011 00:00:00,1336.32,,,1330.0821153846155,1329.9854166666667,-0.09669871794881146,1329.0874999999999,-4.309999999999945
02-17-2011 00:00:00,1340.43,,,1332.3233267619516,1332.4578060046188,0.13447924266711198,1334.094615384615,8.309999999999945
02-18-2011 00:00:00,1343.01,,,1334.5895983410976,1334.974316091954,0.38471775085645277,1338.3709999999999,4.110000000000127
02-21-2011 00:00:00,1329.225,,,1336.5423242165768,1337.1575826904234,0.6152584738465521,1341.476446280992,2.5799999999999272
02-22-2011 00:00:00,1315.44,,,1335.0767225368809,1335.2295477650257,0.15282522814482036,1333.2975961538461,-13.785000000000082
02-23-2011 00:00:00,1307.4,1332.107857142857,,1331.584433227768,1330.8135794196048,-0.7708538081631104,1321.3870860018299,-13.784999999999854
02-24-2011 00:00:00,1306.1,1328.5478571428573,,1327.6877217850097,1325.9275262707179,-1.7601955142918086,1312.0609405487808,-8.039999999999964
02-25-2011 00:00:00,1319.88,1325.417857142857,,1324.4879475025743,1322.0049358537408,-2.4830116488335534,1308.0867782745656,-1.300000000000182
02-28-2011 00:00:00,1327.22,1323.0692857142858,,1323.852095594934,1321.6022613353014,-2.2498342596327348,1315.9490592399404,13.7800000000002
03-01-2011 00:00,1306.33,1321.1821428571427,,1324.2889138632247,1322.6301720576948,-1.6587418055298713,1323.4630621634133,7.339999999999918
03-02-2011 00:00,1308.44,1315.9421428571427,,1322.0823783270898,1319.7320549770125,-2.3503233500773604,1312.0409992285113,-20.8900000000001
03-03-2011 00:00,1330.97,1312.9728571428573,,1320.4841761667958,1317.7713252536723,-2.712850913123475,1309.6403315704106,2.1100000000001273
03-04-2011 00:00,1321.15,1315.1914285714286,,1321.6618589726058,1320.0186381529381,-1.6432208196677038,1323.8601134964733,22.529999999999973
03-07-2011 00:00,1310.13,1317.1557142857143,,1321.6064883699753,1320.20816063056,-1.3983277394152083,1322.0533710395764,-9.819999999999936
03-08-2011 00:00,1321.82,1317.7314285714288,,1320.4059534093744,1318.5426651245493,-1.863288284825103,1314.1044568285342,-11.019999999999982
03-09-2011 00:00,1320.02,1318.0085714285713,,1320.549491487007,1319.0781596339075,-1.4713318530994002,1319.2481523160084,11.689999999999827
03-10-2011 00:00,1295.11,1316.98,,1320.497178661611,1319.2305947071536,-1.2665839544574737,1319.7627174399977,-1.7999999999999545
03-11-2011 00:00,1304.28,1315.377142857143,,1318.0494872889028,1315.3577128856732,-2.6917744032296014,1303.3275724658583,-24.910000000000082
