date,series_id,value
2000-01-03,AAA10Y,-1.0361068146880341
2000-01-04,AAA10Y,-0.9671140614840424
2000-01-05,AAA10Y,-1.0591043990893647
2000-01-06,AAA10Y,-1.0821019834906953
2000-01-07,AAA10Y,-1.0361068146880341
2000-01-10,AAA10Y,-1.0821019834906953
2000-01-11,AAA10Y,-1.105099567892026
2000-01-12,AAA10Y,-1.1280971522933565
2000-01-13,AAA10Y,-1.0361068146880341
2000-01-14,AAA10Y,-1.0821019834906953
2000-01-17,AAA10Y,-1.0821019834906953
2000-01-18,AAA10Y,-1.0821019834906953
2000-01-19,AAA10Y,-1.105099567892026
2000-01-20,AAA10Y,-1.1970899054973478
2000-01-21,AAA10Y,-1.2660826587013396
2000-01-24,AAA10Y,-1.1740923210960172
2000-01-25,AAA10Y,-1.2660826587013396
2000-01-26,AAA10Y,-1.3350754119053314
2000-01-27,AAA10Y,-1.4500633339119844
2000-01-28,AAA10Y,-1.358072996306662
2000-01-31,AAA10Y,-1.1970899054973478
2000-02-01,AAA10Y,-1.2660826587013396
2000-02-02,AAA10Y,-1.3120778275040008
2000-02-03,AAA10Y,-1.2660826587013396
2000-02-04,AAA10Y,-1.358072996306662
2000-02-07,AAA10Y,-1.2890802431026702
2000-02-08,AAA10Y,-1.4270657495106538
2000-02-09,AAA10Y,-1.2200874898986784
2000-02-10,AAA10Y,-1.1970899054973478
2000-02-11,AAA10Y,-1.1740923210960172
2000-02-14,AAA10Y,-1.1740923210960172
2000-02-15,AAA10Y,-1.1280971522933565
2000-02-16,AAA10Y,-1.0591043990893647
2000-02-17,AAA10Y,-1.1280971522933565
2000-02-18,AAA10Y,-0.9441164770827118
2000-02-21,AAA10Y,-0.857875535577722
2000-02-22,AAA10Y,-0.8291285550760589
2000-02-23,AAA10Y,-0.8981213082800507
2000-02-24,AAA10Y,-0.6681454642667447
2000-02-25,AAA10Y,-0.5991527110627529
2000-02-28,AAA10Y,-0.5531575422600923
2000-02-29,AAA10Y,-0.8061309706747283
2000-03-01,AAA10Y,-0.6681454642667447
2000-03-02,AAA10Y,-0.7141406330694059
2000-03-03,AAA10Y,-0.7601358018720671
2000-03-06,AAA10Y,-0.8061309706747283
2000-03-07,AAA10Y,-0.7141406330694059
2000-03-08,AAA10Y,-0.6681454642667447
2000-03-09,AAA10Y,-0.5301599578587617
2000-03-10,AAA10Y,-0.46116720465476985
2000-03-13,AAA10Y,-0.3001841138454557
2000-03-14,AAA10Y,-0.34617928264811687
2000-03-15,AAA10Y,-0.36917686704944747
2000-03-16,AAA10Y,-0.39217445145077806
2000-03-17,AAA10Y,-0.41517203585210866
2000-03-20,AAA10Y,-0.46116720465476985
2000-03-21,AAA10Y,-0.36917686704944747
2000-03-22,AAA10Y,-0.3001841138454557
2000-03-23,AAA10Y,-0.23119136064146392
2000-03-24,AAA10Y,-0.43816962025343925
2000-03-27,AAA10Y,-0.48416478905610044
2000-03-28,AAA10Y,-0.36917686704944747
2000-03-29,AAA10Y,-0.3001841138454557
2000-03-30,AAA10Y,-0.11620343863481095
2000-03-31,AAA10Y,-0.11620343863481095
2000-04-03,AAA10Y,-0.11620343863481095
2000-04-04,AAA10Y,0.06777723657583329
2000-04-05,AAA10Y,0.25175791178647805
2000-04-06,AAA10Y,0.11377240537849448
2000-04-07,AAA10Y,0.13676998977982507
2000-04-10,AAA10Y,0.22876032738514746
2000-04-11,AAA10Y,0.25175791178647805
2000-04-12,AAA10Y,0.18276515858248626
2000-04-13,AAA10Y,0.18276515858248626
2000-04-14,AAA10Y,0.366745833793131
2000-04-17,AAA10Y,0.27475549618780865
2000-04-18,AAA10Y,0.11377240537849448
2000-04-19,AAA10Y,0.06777723657583329
2000-04-20,AAA10Y,0.021782067773172105
2000-04-21,AAA10Y,0.016032671672839584
2000-04-24,AAA10Y,-0.0012155166281579768
2000-04-25,AAA10Y,-0.13920102303614154
2000-04-26,AAA10Y,-0.11620343863481095
2000-04-27,AAA10Y,-0.23119136064146392
2000-04-28,AAA10Y,-0.2771865294441251
2000-05-01,AAA10Y,-0.39217445145077806
2000-05-02,AAA10Y,-0.34617928264811687
2000-05-03,AAA10Y,-0.3001841138454557
2000-05-04,AAA10Y,-0.3001841138454557
2000-05-05,AAA10Y,-0.3231816982467863
