date,ma7,ma21,26ema,12ema,MACD,ema,momentum,upper_band,lower_band
2011-02-14,,,,,,,,,
2011-02-15,,,1332.32,1332.32,0.0,1332.32,,,
2011-02-16,,,1330.0821153846155,1329.9854166666667,-0.09669871794881146,1329.0874999999999,-4.309999999999945,,
2011-02-17,,,1332.3233267619516,1332.4578060046188,0.13447924266711198,1334.094615384615,8.309999999999945,,
2011-02-18,,,1334.5895983410976,1334.974316091954,0.38471775085645277,1338.3709999999999,4.110000000000127,,
2011-02-22,,,1336.5423242165768,1337.1575826904234,0.6152584738465521,1341.476446280992,2.5799999999999272,,
2011-02-23,,,1332.3156969820968,1331.8790675388705,-0.43662944322636577,1324.0949725274727,-27.569999999999936,,
2011-02-24,1328.99,,1327.88456943338,1326.4166492632937,-1.467920170086245,1312.9598993595612,-8.039999999999964,,
2011-02-25,1325.2442857142858,,1324.3745355125045,1322.1768777047157,-2.1976578077888007,1308.38593597561,-1.300000000000182,,
2011-02-28,1324.0828571428572,,1323.7083466812965,1321.7224735420143,-1.9858731392821483,1316.0490346509503,13.7800000000002,,
2011-03-01,1322.782857142857,,1324.1929206614516,1322.7642526692198,-1.4286679922317944,1323.4964710066388,7.339999999999918,,
2011-03-02,1317.9114285714288,,1321.87609419268,1319.7571806885726,-2.118913504107468,1312.0520923983609,-20.8900000000001,,
2011-03-03,1312.972857142857,,1320.2252583164798,1317.7450231148596,-2.4802352016201894,1309.6440262682524,2.1100000000001273,,
2011-03-04,1315.1914285714286,,1321.4840028666367,1320.0413815121549,-1.4426213544818438,1323.8613510068858,22.529999999999973,,
2011-03-07,1317.1557142857143,,1321.4464903698233,1320.230143844433,-1.216346525390236,1322.0537832910445,-9.819999999999936,,
2011-03-08,1317.7314285714288,,1320.222323314102,1318.538196842062,-1.6841264720399067,1314.1045938763557,-11.019999999999982,,
2011-03-09,1318.0085714285717,,1320.3894534200476,1319.0805406894683,-1.3089127305793227,1319.248198078274,11.689999999999827,,
2011-03-10,1316.98,,1320.3519506715245,1319.2340420317703,-1.117908639754205,1319.7627326967424,-1.7999999999999545,,
2011-03-11,1315.3771428571429,,1317.8580904480261,1315.3296116776507,-2.5284787703753864,1303.3275775231587,-24.910000000000082,,
2011-03-14,1314.782857142857,,1316.5489660553365,1313.5554497749138,-2.993516280422682,1303.9625258415992,9.170000000000073,,
2011-03-15,1309.8428571428572,,1314.6478223328115,1310.817698664154,-3.8301236686575066,1298.9141752790854,-7.889999999999873,,
2011-03-16,1304.2314285714285,1316.7923809523809,1311.6179299586108,1306.2266935592015,-5.391236399409308,1287.5513917586088,-14.52000000000021,1348.5999069734182,1284.9848549313435
2011-03-17,1296.6242857142856,1313.2,1306.649344318271,1298.4374801047088,-8.211864213562194,1267.103797252218,-24.98999999999978,1353.9970599946928,1272.4029400053073
2011-03-18,1289.7528571428572,1310.614761904762,1303.709419496158,1294.551453363145,-9.157966133013133,1271.5145990841195,16.839999999999918,1353.267306457721,1267.962217351803
2011-03-21,1283.9214285714284,1307.8947619047617,1301.553998474092,1292.1460424103823,-9.407956063709662,1276.6381996947246,5.480000000000018,1349.9335357864265,1265.8559880230969
2011-03-22,1284.3885714285714,1305.892380952381,1301.278687083568,1293.1200684098098,-8.158618673758156,1291.1327332315918,19.180000000000064,1344.3005271689005,1267.4842347358615
2011-03-23,1282.887142857143,1303.547619047619,1300.635532391583,1293.221374068471,-7.414158323111906,1292.8909110771979,-4.610000000000127,1341.8236630053311,1265.271575089907
2011-03-24,1283.0514285714287,1302.6952380952382,1300.3734207768061,1293.8931633049938,-6.480257471812365,1295.9903036923997,3.769999999999982,1340.9841057916558,1264.4063703988206
2011-03-25,1287.0214285714285,1302.8028571428572,1301.1515063249808,1296.3416061657404,-4.809900159240442,1305.1034345641337,12.120000000000118,1341.195933053688,1264.4097812320265
2011-03-28,1295.152857142857,1303.169523809524,1302.2010799116122,1299.0488214371965,-3.152258474415703,1310.9011448547112,4.139999999999873,1341.0810265216933,1265.2580210973547
2011-03-29,1300.3628571428574,1302.7080952380952,1302.8581496032673,1300.7743410211478,-2.0838085821194454,1310.4270482849038,-3.6099999999999,1338.9963922496675,1266.419798226523
2011-03-30,1306.1114285714286,1302.337619047619,1304.2109105334098,1303.6622555890874,-0.5486549443223794,1316.4356827616346,9.25,1339.4586793773035,1265.2165587179345
2011-03-31,1310.3799999999999,1303.3819047619047,1306.158236858612,1307.4646555734066,1.3064187147945177,1324.3185609205448,8.819999999999936,1342.2294458478104,1264.534363675999
2011-04-01,1314.9600000000003,1304.21,1307.7402042114302,1310.3015395945438,2.561335383113601,1325.326186973515,-2.4300000000000637,1342.343470641393,1266.076529358607
2011-04-04,1319.9414285714286,1304.2785714285715,1309.7115975197448,1313.7144933898956,4.002895870150724,1330.0487289911716,6.580000000000155,1343.853513793128,1264.7036290640149
2011-04-05,1323.257142857143,1304.8366666666666,1311.551473940871,1316.6700325487213,5.118558607850446,1331.9295763303905,0.459999999999809,1346.4743953068778,1263.1989380264554
2011-04-06,1325.947142857143,1305.9080952380953,1313.2171590672945,1319.131428845082,5.914269777787467,1332.3965254434636,-0.23999999999978172,1348.7517330388246,1263.064457437366
2011-04-07,1329.5685714285714,1306.5614285714287,1314.9724867796565,1321.6610565783785,6.688569798722028,1334.4921751478212,2.9099999999998545,1351.0717416401294,1262.051115502728
2011-04-08,1331.5785714285714,1307.2038095238095,1316.4235438590629,1323.4871669133463,7.0636230542834255,1333.8373917159404,-2.0299999999999727,1353.0492961409016,1261.3583229067174
2011-04-11,1331.5657142857142,1308.7780952380954,1317.3391706495322,1324.208671244285,6.869500594752708,1330.0591305719802,-5.339999999999918,1355.4735132934943,1262.0826771826964
2011-04-12,1331.3700000000001,1309.7390476190476,1317.8920909267065,1324.2473857184232,6.3552947917166875,1326.3263768573267,-3.7100000000000364,1356.5255271212561,1262.952568116839
2011-04-13,1328.7628571428572,1310.585238095238,1317.6033325066026,1322.6938330145406,5.090500507938032,1318.2154589524423,-10.299999999999955,1355.4129888518262,1265.75748733865
2011-04-14,1326.1257142857144,1312.134761904762,1317.3570708623186,1321.4182527610951,4.061181898776567,1315.6784863174807,0.25,1348.683062390846,1275.5864614186778
2011-04-15,1323.5385714285715,1314.8795238095238,1317.1389470375607,1320.356176842274,3.21722980471327,1314.906162105827,0.10999999999989996,1345.8846873013995,1283.874360317648
2011-04-18,1321.2728571428572,1317.0680952380953,1317.3337646639525,1320.2520827711103,2.918318107157802,1318.0887207019423,5.160000000000082,1342.4814843946224,1291.6547060815683
